# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,ell
3.5335e-19,6.8200e+02
3.5051e-19,6.8300e+02
3.4769e-19,6.8400e+02
3.4490e-19,6.8500e+02
3.4213e-19,6.8600e+02
3.3941e-19,6.8700e+02
3.3669e-19,6.8800e+02
3.3399e-19,6.8900e+02
3.3134e-19,6.9000e+02
3.2868e-19,6.9100e+02
3.2608e-19,6.9200e+02
3.2350e-19,6.9300e+02
3.2094e-19,6.9400e+02
3.1840e-19,6.9500e+02
3.1588e-19,6.9600e+02
3.1338e-19,6.9700e+02
3.1090e-19,6.9800e+02
3.0847e-19,6.9900e+02
3.0604e-19,7.0000e+02
3.0365e-19,7.0100e+02
3.0125e-19,7.0200e+02
2.9890e-19,7.0300e+02
2.9657e-19,7.0400e+02
2.9426e-19,7.0500e+02
2.9196e-19,7.0600e+02
2.8969e-19,7.0700e+02
2.8743e-19,7.0800e+02
2.8520e-19,7.0900e+02
2.8300e-19,7.1000e+02
2.8080e-19,7.1100e+02
2.7862e-19,7.1200e+02
2.7648e-19,7.1300e+02
2.7436e-19,7.1400e+02
2.7223e-19,7.1500e+02
2.7014e-19,7.1600e+02
2.6806e-19,7.1700e+02
2.6601e-19,7.1800e+02
2.6397e-19,7.1900e+02
2.6195e-19,7.2000e+02
2.5997e-19,7.2100e+02
2.5798e-19,7.2200e+02
2.5600e-19,7.2300e+02
2.5407e-19,7.2400e+02
2.5213e-19,7.2500e+02
2.5022e-19,7.2600e+02
2.4833e-19,7.2700e+02
2.4644e-19,7.2800e+02
2.4458e-19,7.2900e+02
2.4273e-19,7.3000e+02
2.4091e-19,7.3100e+02
2.3909e-19,7.3200e+02
2.3729e-19,7.3300e+02
2.3553e-19,7.3400e+02
2.3375e-19,7.3500e+02
2.3200e-19,7.3600e+02
2.3027e-19,7.3700e+02
2.2854e-19,7.3800e+02
2.2685e-19,7.3900e+02
2.2516e-19,7.4000e+02
2.2347e-19,7.4100e+02
2.2182e-19,7.4200e+02
2.2017e-19,7.4300e+02
2.1854e-19,7.4400e+02
2.1693e-19,7.4500e+02
2.1532e-19,7.4600e+02
2.1373e-19,7.4700e+02
2.1217e-19,7.4800e+02
2.1060e-19,7.4900e+02
2.0904e-19,7.5000e+02
2.0752e-19,7.5100e+02
2.0599e-19,7.5200e+02
2.0449e-19,7.5300e+02
2.0300e-19,7.5400e+02
2.0150e-19,7.5500e+02
2.0003e-19,7.5600e+02
1.9858e-19,7.5700e+02
1.9714e-19,7.5800e+02
1.9570e-19,7.5900e+02
1.9428e-19,7.6000e+02
1.9287e-19,7.6100e+02
1.9147e-19,7.6200e+02
1.9010e-19,7.6300e+02
1.8872e-19,7.6400e+02
1.8735e-19,7.6500e+02
1.8601e-19,7.6600e+02
1.8466e-19,7.6700e+02
1.8334e-19,7.6800e+02
1.8203e-19,7.6900e+02
1.8072e-19,7.7000e+02
