# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,Nl,ell
4.1951e-08,6.9565e-07,3.9500e+02
4.1815e-08,6.9562e-07,3.9600e+02
4.1678e-08,6.9559e-07,3.9700e+02
4.1543e-08,6.9555e-07,3.9800e+02
4.1408e-08,6.9552e-07,3.9900e+02
4.1273e-08,6.9548e-07,4.0000e+02
4.1139e-08,6.9545e-07,4.0100e+02
4.1006e-08,6.9543e-07,4.0200e+02
4.0872e-08,6.9542e-07,4.0300e+02
4.0740e-08,6.9541e-07,4.0400e+02
4.0608e-08,6.9542e-07,4.0500e+02
4.0478e-08,6.9545e-07,4.0600e+02
4.0347e-08,6.9550e-07,4.0700e+02
4.0217e-08,6.9556e-07,4.0800e+02
4.0088e-08,6.9564e-07,4.0900e+02
3.9959e-08,6.9575e-07,4.1000e+02
3.9831e-08,6.9588e-07,4.1100e+02
3.9703e-08,6.9603e-07,4.1200e+02
3.9576e-08,6.9620e-07,4.1300e+02
3.9449e-08,6.9639e-07,4.1400e+02
3.9323e-08,6.9661e-07,4.1500e+02
3.9198e-08,6.9684e-07,4.1600e+02
3.9074e-08,6.9709e-07,4.1700e+02
3.8949e-08,6.9736e-07,4.1800e+02
3.8825e-08,6.9764e-07,4.1900e+02
3.8703e-08,6.9793e-07,4.2000e+02
3.8580e-08,6.9823e-07,4.2100e+02
3.8458e-08,6.9853e-07,4.2200e+02
3.8337e-08,6.9884e-07,4.2300e+02
3.8216e-08,6.9915e-07,4.2400e+02
3.8095e-08,6.9946e-07,4.2500e+02
3.7976e-08,6.9977e-07,4.2600e+02
3.7856e-08,7.0008e-07,4.2700e+02
3.7737e-08,7.0038e-07,4.2800e+02
3.7619e-08,7.0067e-07,4.2900e+02
3.7501e-08,7.0096e-07,4.3000e+02
3.7383e-08,7.0125e-07,4.3100e+02
3.7267e-08,7.0153e-07,4.3200e+02
3.7151e-08,7.0180e-07,4.3300e+02
3.7035e-08,7.0208e-07,4.3400e+02
3.6920e-08,7.0235e-07,4.3500e+02
3.6805e-08,7.0262e-07,4.3600e+02
3.6691e-08,7.0289e-07,4.3700e+02
3.6578e-08,7.0317e-07,4.3800e+02
3.6463e-08,7.0345e-07,4.3900e+02
3.6351e-08,7.0373e-07,4.4000e+02
3.6238e-08,7.0401e-07,4.4100e+02
3.6127e-08,7.0431e-07,4.4200e+02
3.6015e-08,7.0460e-07,4.4300e+02
3.5905e-08,7.0491e-07,4.4400e+02
3.5795e-08,7.0522e-07,4.4500e+02
3.5685e-08,7.0554e-07,4.4600e+02
3.5575e-08,7.0587e-07,4.4700e+02
3.5467e-08,7.0620e-07,4.4800e+02
3.5359e-08,7.0654e-07,4.4900e+02
3.5250e-08,7.0689e-07,4.5000e+02
3.5143e-08,7.0725e-07,4.5100e+02
3.5037e-08,7.0761e-07,4.5200e+02
3.4930e-08,7.0799e-07,4.5300e+02
